@T,climate,
name,precip.csv,
desc,breakpoint precip,
,,
missing_val,-9999,
date_start,31.12.2020 00:00:00,
date_end,07.03.2023 23:59:59,
date_format,dd.MM.yyyy HH:mm:ss,
,,
tres,d,
unit,mm,
,,
@H,time,B_UW
ID,-,85
,19.07.2021 12:00:00,0.9
,19.07.2021 12:10:00,2.1
,19.07.2021 12:20:00,2.4
,19.07.2021 13:20:00,55.2
,19.07.2021 13:30:00,1.8
,19.07.2021 13:40:00,0.3
,20.07.2021 16:40:00,0.6
,20.07.2021 16:50:00,3.3
,20.07.2021 17:00:00,1.2
,20.07.2021 17:10:00,0.3
,20.07.2021 17:40:00,0.3
,20.07.2021 17:50:00,0.3
,20.07.2021 20:10:00,0.3
,21.07.2021 12:10:00,0.3
,21.07.2021 14:20:00,0.3
,23.07.2021 11:00:00,0.9
,23.07.2021 11:10:00,0.6
,23.07.2021 11:20:00,1.2
,23.07.2021 11:30:00,1.2
,23.07.2021 12:30:00,0.3
,23.07.2021 12:40:00,0.3
,23.07.2021 13:10:00,0.3
,23.07.2021 14:00:00,0.3
,30.07.2021 16:40:00,0.3
,30.07.2021 17:20:00,0.3
,31.07.2021 05:00:00,0.3
,31.07.2021 05:20:00,0.3
,31.07.2021 05:30:00,0.3
,31.07.2021 05:40:00,0.3
,31.07.2021 11:20:00,0.3
,31.07.2021 11:30:00,1.8
,31.07.2021 11:50:00,0.3
,31.07.2021 12:00:00,0.3
,31.07.2021 13:20:00,0.6
,31.07.2021 13:30:00,0.9
,31.07.2021 13:40:00,0.9
,31.07.2021 13:50:00,0.6
,31.07.2021 14:00:00,0.6
,31.07.2021 14:10:00,0.3
,31.07.2021 14:20:00,0.3
,31.07.2021 14:30:00,0.3
,02.08.2021 17:00:00,0.3
,02.08.2021 17:50:00,0.3
,02.08.2021 18:00:00,0.3
,02.08.2021 18:10:00,0.3
,02.08.2021 18:30:00,0.3
,02.08.2021 18:40:00,0.3
,03.08.2021 09:20:00,0.3
,03.08.2021 09:40:00,0.3
,03.08.2021 09:50:00,0.3
,03.08.2021 10:00:00,0.9
,03.08.2021 10:10:00,0.9
,03.08.2021 10:20:00,0.6
,03.08.2021 10:30:00,0.6
,03.08.2021 10:40:00,0.3
,03.08.2021 10:50:00,0.6
,03.08.2021 11:10:00,0.3
,03.08.2021 11:50:00,0.3
,03.08.2021 12:00:00,0.3
,03.08.2021 12:10:00,0.3
,03.08.2021 12:20:00,0.3
,03.08.2021 12:30:00,0.3
,03.08.2021 13:00:00,0.3
,03.08.2021 18:00:00,0.6
,03.08.2021 18:10:00,0.6
,03.08.2021 18:20:00,0.9
,03.08.2021 18:30:00,0.9
,03.08.2021 18:40:00,0.6
,03.08.2021 18:50:00,0.9
,03.08.2021 19:00:00,0.6
,03.08.2021 19:10:00,0.6
,03.08.2021 19:20:00,0.3
,03.08.2021 19:30:00,0.3
,03.08.2021 19:40:00,0.3
,04.08.2021 03:30:00,0.3
,06.08.2021 18:00:00,3
,06.08.2021 18:10:00,1.2
,17.08.2021 18:20:00,0.3
,18.08.2021 14:00:00,0.6
,18.08.2021 14:10:00,0.9
,18.08.2021 14:20:00,0.6
,18.08.2021 14:30:00,0.6
,18.08.2021 14:40:00,0.3
,18.08.2021 19:00:00,0.6
,18.08.2021 19:10:00,0.9
,18.08.2021 19:20:00,0.3
,18.08.2021 23:10:00,0.3
,19.08.2021 16:50:00,0.3
,20.08.2021 00:40:00,0.3
,20.08.2021 00:50:00,0.6
,21.08.2021 14:20:00,0.3
,26.08.2021 20:50:00,0.3
,26.08.2021 21:00:00,0.6
,26.08.2021 22:10:00,0.3
,01.09.2021 17:30:00,0.3
,01.09.2021 17:40:00,0.3
,01.09.2021 17:50:00,0.3
,01.09.2021 18:00:00,0.6
,01.09.2021 18:10:00,0.9
,01.09.2021 18:40:00,0.3
,01.09.2021 19:10:00,0.3
,01.09.2021 23:50:00,0.3
,02.09.2021 00:50:00,0.3
,02.09.2021 01:00:00,0.3
,02.09.2021 01:20:00,0.3
,02.09.2021 02:20:00,0.3
,02.09.2021 17:10:00,0.6
,02.09.2021 17:40:00,0.6
,02.09.2021 17:50:00,0.3
,02.09.2021 23:30:00,0.3
,03.09.2021 10:50:00,1.5
,03.09.2021 11:00:00,1.5
,03.09.2021 11:20:00,0.3
